CMastication	DataJunkie,DataJunkie,DataJunkie,bradfordcross,esammer,esammer,peteskomoroch,peteskomoroch,peteskomoroch,peteskomoroch
ChrisDiehl	CMastication,DataJunkie,peteskomoroch,peteskomoroch
DataJunkie	ChrisDiehl,ChrisDiehl,LusciousPear,bradfordcross,communicating,infochimps,kevinweil,kevinweil,nealrichter,peteskomoroch
EveSimon	infochimps
EverythingMySQL	cloudera,cloudera
FrankAdman	infochimps
GoldenHultz5323	infochimps
LooppaCosmos	cloudera
LoriGama	infochimps
LusciousPear	bradfordcross,bradfordcross,bradfordcross,kevinweil,kevinweil,mikeolson,mikeolson,mndoci,mrflip,peteskomoroch,tlipcon,tlipcon,tlipcon
MacDivaONA	infochimps
SexySEO	cloudera
Silona	infochimps
TedC	cloudera,cloudera
TwitApeksha	hadoop
abdur	infochimps
abhishektiwari	cloudera
abraham	infochimps,infochimps,infochimps
actuary_math	infochimps
agemooij	cloudera
akshar	cloudera,cloudera
alisohani	infochimps,infochimps
alkalineearth	infochimps,infochimps,infochimps,infochimps
anutron	cloudera,cloudera,cloudera,cloudera
arun_anand	infochimps
aufrank	infochimps
avometric	cloudera
band	infochimps
bdainton	infochimps
bird_owl	cloudera,cloudera
bradfordcross	CMastication,DataJunkie,LusciousPear,LusciousPear,LusciousPear,cloudera,cloudera,ogrisel,peteskomoroch,peteskomoroch
briancollins	cloudera
cdonahue	infochimps
chad_walters	cloudera
checkyourfuel	infochimps
cloudera	CMastication,Johannhartmann,LusciousPear,bnewport,cwire4,efic1,efic1,elicollins,hackingdata,hortovanyi,katiefehren,kevinweil,kevinweil,mariagrineva,mariagrineva,mariagrineva,mja,schain,scottyallen,sethladd,sstrudeau,sstrudeau,tlockney,weststar42
cloudify	cloudera
cognizr	infochimps
communicating	DataJunkie,infochimps
cwire4	cloudera,cloudera
cyc_ai	infochimps,infochimps
da_robe	hadoop
davidgiesberg	infochimps
deinspanjer	infochimps
derrinyet	infochimps
djacap	cloudera
dswan113	infochimps
ealdent	infochimps
eduo	infochimps,infochimps
efic1	cloudera
emp	infochimps
esammer	CMastication,CMastication,CMastication,CMastication,CMastication,CMastication,LusciousPear,mrflip,mrflip,mrflip,peteskomoroch
feziegler	infochimps
flowingdata	infochimps,infochimps
francoisL	infochimps
gagcartoons	infochimps
gilliss	infochimps
gnestor	infochimps
grigs	infochimps
hayesdavis	infochimps
iamdanw	infochimps
idefine	cloudera,cloudera
infochimps	Ajprescott,Ajprescott,Joe,Napjeeper,Org9,The_Javelina,abraham,aduthie,aduthie,alexismadrigal,boathouseinc,brenes,brianthecoder,candice1977,candice1977,cdonahue,dataspora,dhruvbansal,flowingdata,flowingdata,infochimps,infochimps,kentbrew,lenbust,mandelbrot,rww,rww,sogrady,sogrady,tectonic,walshmichael,walshmichael,znmeb
inspired12	infochimps
intellicubes	infochimps
ixothym	cloudera,cloudera
jeromatron	esammer
johncmunoz	infochimps
joshuabaer	infochimps,infochimps,infochimps,infochimps,infochimps,infochimps
jpkml	hadoop
jpmarcum	infochimps
jwfbean	cloudera
kentbrew	infochimps
kevinweil	LusciousPear,cloudera,mikeolson,tlipcon
kovyrin	cloudera
krasivy	infochimps
kristtina	infochimps
ldodds	infochimps
leeblaylock	infochimps
lenbust	infochimps,tom_e_white
llimllib	infochimps
madmongol	cloudera
mahmoudimus	cloudera
mandelbrot	infochimps
marckboucher	cloudera
marcusherou	cloudera
mat_kelcey	DataJunkie,DataJunkie,DataJunkie
matsunobu	cloudera
matt_massie	cloudera,cloudera
mattwdelong	infochimps
mcraptor	hadoop
mdkail	cloudera
metcalfc	LusciousPear,LusciousPear,LusciousPear,nealrichter,nealrichter
mikearsenault	infochimps
mikeloukides	cloudera
mikeolson	LusciousPear,esammer,esammer,kevinweil
milesEfron	infochimps
mndoci	infochimps,mrflip,mrflip,peteskomoroch,peteskomoroch
mrflip	bradfordcross,infochimps,infochimps,infochimps,jeromatron,jeromatron,kevinweil,mndoci,mndoci,mza,mza,ogrisel,ogrisel,peteskomoroch,peteskomoroch,tlipcon,tlipcon,tom_e_white
nasrat	cloudera,cloudera
nbrgraphs	infochimps
nealrichter	DataJunkie,DataJunkie,communicating,metcalfc,metcalfc,metcalfc,peteskomoroch,peteskomoroch,peteskomoroch,tlipcon,tlipcon,tlipcon
nickducoff	infochimps,infochimps,infochimps
nicolastorzec	infochimps,infochimps
ogrisel	bradfordcross,bradfordcross,communicating,communicating,mrflip,mrflip
olyerickson	infochimps
optian	cloudera
otherinbox	infochimps
otisg	cloudera
p1lonn	cloudera
pdsphil	infochimps,infochimps
peteskomoroch	CMastication,CMastication,CMastication,CMastication,CMastication,CMastication,CMastication,CMastication,ChrisDiehl,DataJunkie,bradfordcross,mndoci,nealrichter
pfcdgayo	infochimps,infochimps
platformlead	cloudera
puneetla	cloudera
randygiusto	infochimps
rasga	infochimps,infochimps
rgeorge28	cloudera
salimv	infochimps
samohtsivraj	infochimps
samtingleff	cloudera,cloudera
saurabhnanda	hadoop,hadoop
seaofclouds	hadoop
squarecog	cloudera,cloudera
steveodom	infochimps
stomp_rasta	cloudera
systhink	infochimps
tectonic	infochimps
teiati	cloudera,cloudera
tkb	infochimps
tlipcon	LusciousPear,kevinweil,kevinweil,kevinweil,mikeolson
tom_e_white	cutting
tommy_landry	infochimps
tweepml	infochimps,infochimps,infochimps,infochimps
utopiah	infochimps,infochimps
vzaliva	cloudera
wadearnold	cloudera,cloudera,cloudera
walshmichael	infochimps
wattsteve	josephkelly,josephkelly,mrflip
yarapavan	infochimps
zieglerfe	infochimps
znmeb	infochimps,infochimps
